net_number,Species,obs_yr,num_birds,perc_species
2,RBWO,2018,1,1.7241379310344827
2,RCKI,2015,1,7.6923076923076925
2,RCKI,2016,1,2
2,SCJU,2016,3,6
2,SCJU,2017,2,6.451612903225806
2,SOSP,2009,2,66.66666666666666
2,SOSP,2018,2,3.4482758620689653
2,SOSP,2019,7,16.666666666666664
2,SWSP,2018,1,1.7241379310344827
2,SWSP,2020,1,12.5
2,TUTI,2016,10,20
2,TUTI,2017,6,19.35483870967742
2,TUTI,2018,3,5.172413793103448
2,TUTI,2019,1,2.380952380952381
2,TUTI,2020,1,12.5
2,VEER,2016,1,2
2,WBNU,2016,2,4
2,WBNU,2017,1,3.225806451612903
2,WBNU,2018,1,1.7241379310344827
2,WEVI,2015,1,7.6923076923076925
2,WEVI,2016,2,4
2,WTSP,2016,2,4
2,WTSP,2018,4,6.896551724137931
2,WTSP,2019,1,2.380952380952381
2,WTSP,2020,2,25
2,YPWA,2019,1,2.380952380952381
3,ACFL,2009,1,0.78125
3,ACFL,2013,1,2.857142857142857
3,ACFL,2015,1,2.941176470588235
3,AMGO,2008,5,5.813953488372093
3,AMGO,2010,1,1.694915254237288
3,AMRO,2011,1,1.8867924528301887
3,BGGN,2015,1,2.941176470588235
3,BHCO,2010,1,1.694915254237288
3,BHCO,2011,2,3.7735849056603774
3,BHCO,2018,1,6.25
3,BLGR,2009,2,1.5625
3,BLGR,2010,1,1.694915254237288
3,BLGR,2011,3,5.660377358490567
3,BLGR,2012,1,1.1627906976744187
3,BLGR,2013,2,5.714285714285714
3,BLGR,2015,1,2.941176470588235
3,CACH,2018,4,25
3,CARW,2008,1,1.1627906976744187
3,CARW,2009,1,0.78125
3,CARW,2013,5,14.285714285714285
3,CARW,2015,5,14.705882352941178
3,CARW,2016,1,12.5
3,CARW,2017,1,25
3,CARW,2018,3,18.75
3,CHSP,2008,1,1.1627906976744187
3,CHSP,2009,48,37.5
3,CHSP,2010,8,13.559322033898304
3,CHSP,2011,10,18.867924528301888
3,CHSP,2012,9,10.465116279069768
3,CHSP,2013,8,22.857142857142858
3,COGD,2008,1,1.1627906976744187
3,COYE,2009,2,1.5625
3,COYE,2011,1,1.8867924528301887
3,COYE,2012,1,1.1627906976744187
3,COYE,2016,2,25
3,DOWO,2011,1,1.8867924528301887
3,EABL,2009,1,0.78125
3,EABL,2011,3,5.660377358490567
3,EAPH,2008,2,2.3255813953488373
3,EAPH,2009,6,4.6875
3,EAPH,2010,2,3.389830508474576
3,EAPH,2012,3,3.488372093023256
3,EAPH,2013,4,11.428571428571429
3,EAPH,2016,1,12.5
3,EASO,2011,2,3.7735849056603774
3,EAWP,2008,1,1.1627906976744187
3,EAWP,2011,1,1.8867924528301887
3,EAWP,2015,1,2.941176470588235
3,EWCS,2008,1,1.1627906976744187
3,FISP,2008,6,6.976744186046512
3,FISP,2009,23,17.96875
3,FISP,2010,5,8.47457627118644
3,FISP,2011,2,3.7735849056603774
3,FISP,2012,7,8.13953488372093
3,FISP,2013,3,8.571428571428571
3,FISP,2014,1,12.5
3,FISP,2015,2,5.88235294117647
3,GRCA,2010,1,1.694915254237288
3,GRCA,2015,1,2.941176470588235
3,GRCA,2018,1,6.25
3,HETH,2012,1,1.1627906976744187
3,HOFI,2009,1,0.78125
3,HOWR,2008,1,1.1627906976744187
3,HOWR,2013,1,2.857142857142857
3,HOWR,2014,1,12.5
3,INBU,2008,1,1.1627906976744187
3,INBU,2009,12,9.375
3,INBU,2010,7,11.864406779661017
3,INBU,2011,3,5.660377358490567
3,INBU,2012,2,2.3255813953488373
3,INBU,2013,3,8.571428571428571
3,INBU,2014,4,50
3,INBU,2015,2,5.88235294117647
3,INBU,2016,1,12.5
3,MYWA,2012,1,1.1627906976744187
3,MYWA,2013,2,5.714285714285714
3,MYWA,2018,1,6.25
3,NOCA,2008,3,3.488372093023256
3,NOCA,2009,1,0.78125
3,NOCA,2010,1,1.694915254237288
3,NOCA,2011,2,3.7735849056603774
3,NOCA,2013,1,2.857142857142857
3,NOCA,2015,7,20.588235294117645
3,NOCA,2016,2,25
3,NOCA,2017,1,25
3,NOCA,2018,1,6.25
3,NOCA,2020,1,25
3,NOWA,2020,1,25
3,NSWO,2007,1,6.25
3,NSWO,2012,1,1.1627906976744187
3,NSWO,2013,1,2.857142857142857
3,OROR,2009,1,0.78125
3,OROR,2011,1,1.8867924528301887
3,OROR,2013,1,2.857142857142857
3,PIWA,2008,8,9.30232558139535
3,PIWA,2009,5,3.90625
3,PIWA,2010,2,3.389830508474576
3,PIWA,2011,6,11.320754716981133
3,PIWA,2013,1,2.857142857142857
3,PIWA,2015,2,5.88235294117647
3,PRAW,2010,1,1.694915254237288
3,PRAW,2014,1,12.5
3,PRAW,2015,4,11.76470588235294
3,RCKI,2015,4,11.76470588235294
3,RCKI,2018,2,12.5
3,RCKI,2020,2,50
3,RWBL,2007,5,31.25
3,SAVS,2008,4,4.651162790697675
3,SAVS,2009,5,3.90625
3,SAVS,2010,4,6.779661016949152
3,SAVS,2011,4,7.547169811320755
3,SAVS,2012,2,2.3255813953488373
3,SAVS,2013,1,2.857142857142857
3,SOSP,2007,6,37.5
3,SOSP,2008,34,39.53488372093023
3,SOSP,2009,11,8.59375
3,SOSP,2010,9,15.254237288135593
3,SOSP,2011,5,9.433962264150944
3,SOSP,2012,13,15.11627906976744
3,SOSP,2013,1,2.857142857142857
3,SOSP,2017,1,25
3,SUTA,2011,1,1.8867924528301887
3,SWSP,2007,4,25
3,SWSP,2008,16,18.6046511627907
3,SWSP,2009,2,1.5625
3,SWSP,2010,6,10.16949152542373
3,SWSP,2014,1,12.5
3,SWSP,2016,1,12.5
3,TEWA,2011,1,1.8867924528301887
3,TUTI,2012,2,2.3255813953488373
3,TUTI,2018,2,12.5
3,VESP,2009,3,2.34375
3,WEVI,2008,1,1.1627906976744187
3,WEVI,2015,2,5.88235294117647
3,WPWA,2009,3,2.34375
3,WPWA,2010,9,15.254237288135593
3,WPWA,2011,3,5.660377358490567
3,WPWA,2012,41,47.674418604651166
3,WPWA,2018,1,6.25
3,WTSP,2012,1,1.1627906976744187
3,WTSP,2015,1,2.941176470588235
3,YBCH,2010,1,1.694915254237288
3,YBCH,2011,1,1.8867924528301887
3,YBSA,2012,1,1.1627906976744187
3,YBSA,2017,1,25
4,ACFL,2009,1,0.7936507936507936
4,ACFL,2013,1,1.5151515151515151
4,ACFL,2014,1,1.0101010101010102
4,AMGO,2008,1,1.4285714285714286
4,AMGO,2010,8,7.017543859649122
4,AMGO,2013,2,3.0303030303030303
4,AMGO,2014,1,1.0101010101010102
4,AMGO,2015,1,0.8547008547008548
4,AMGO,2016,9,6.8181818181818175
4,AMGO,2018,3,1.7751479289940828
4,AMGO,2020,2,1.9230769230769231
4,AMGO,2021,1,1.1494252873563218
4,AMRO,2016,1,0.7575757575757576
4,AMRO,2017,1,0.9009009009009009
4,AMRO,2018,2,1.183431952662722
4,BDOW,2019,1,1.098901098901099
4,BGGN,2009,3,2.380952380952381
4,BGGN,2011,2,2.3529411764705883
4,BGGN,2012,2,1.5873015873015872
4,BGGN,2014,1,1.0101010101010102
4,BGGN,2015,1,0.8547008547008548
4,BGGN,2016,4,3.0303030303030303
4,BGGN,2017,1,0.9009009009009009
4,BGGN,2019,1,1.098901098901099
4,BGGN,2020,2,1.9230769230769231
4,BGGN,2021,2,2.2988505747126435
4,BHCO,2020,1,0.9615384615384616
4,BHNU,2018,1,0.591715976331361
4,BHNU,2019,1,1.098901098901099
4,BLGR,2008,1,1.4285714285714286
4,BLGR,2009,4,3.1746031746031744
4,BLGR,2010,2,1.7543859649122806
4,BLGR,2011,2,2.3529411764705883
4,BLGR,2012,6,4.761904761904762
4,BLGR,2013,3,4.545454545454546
4,BLGR,2014,1,1.0101010101010102
4,BLGR,2015,4,3.418803418803419
4,BLGR,2016,1,0.7575757575757576
4,BLGR,2017,2,1.8018018018018018
4,BLGR,2018,4,2.366863905325444
4,BLGR,2019,1,1.098901098901099
4,BLGR,2020,4,3.8461538461538463
4,BLJA,2018,1,0.591715976331361
4,BRTH,2014,1,1.0101010101010102
4,BRTH,2015,1,0.8547008547008548
4,BRTH,2019,1,1.098901098901099
4,BRTH,2020,2,1.9230769230769231
4,CACH,2010,2,1.7543859649122806
4,CACH,2012,3,2.380952380952381
4,CACH,2013,1,1.5151515151515151
4,CACH,2014,1,1.0101010101010102
4,CACH,2015,3,2.564102564102564
4,CACH,2016,9,6.8181818181818175
4,CACH,2017,2,1.8018018018018018
4,CACH,2020,1,0.9615384615384616
4,CARW,2007,1,12.5
4,CARW,2008,4,5.714285714285714
4,CARW,2009,4,3.1746031746031744
4,CARW,2010,1,0.8771929824561403
4,CARW,2011,2,2.3529411764705883
4,CARW,2012,2,1.5873015873015872
4,CARW,2013,2,3.0303030303030303
4,CARW,2014,7,7.07070707070707
4,CARW,2015,11,9.401709401709402
4,CARW,2016,5,3.787878787878788
4,CARW,2017,6,5.405405405405405
4,CARW,2018,2,1.183431952662722
4,CARW,2019,4,4.395604395604396
4,CARW,2020,4,3.8461538461538463
4,CARW,2021,3,3.4482758620689653
4,CEDW,2010,2,1.7543859649122806
4,CEDW,2015,1,0.8547008547008548
4,CEDW,2018,3,1.7751479289940828
4,CHSP,2008,2,2.857142857142857
4,CHSP,2009,27,21.428571428571427
4,CHSP,2010,4,3.508771929824561
4,CHSP,2011,3,3.5294117647058822
4,CHSP,2012,1,0.7936507936507936
4,CHSP,2015,1,0.8547008547008548
4,CHSP,2016,1,0.7575757575757576
4,CHSP,2017,1,0.9009009009009009
4,CHSP,2018,9,5.325443786982249
4,CHSP,2021,9,10.344827586206897
4,COGR,2010,1,0.8771929824561403
4,COGR,2017,2,1.8018018018018018
4,COYE,2007,1,12.5
4,COYE,2008,5,7.142857142857142
4,COYE,2009,5,3.968253968253968
4,COYE,2010,12,10.526315789473683
4,COYE,2011,9,10.588235294117647
4,COYE,2012,9,7.142857142857142
4,COYE,2013,7,10.606060606060606
4,COYE,2014,21,21.21212121212121
4,COYE,2015,11,9.401709401709402
4,COYE,2016,2,1.5151515151515151
4,COYE,2017,8,7.207207207207207
4,COYE,2018,14,8.284023668639055
4,COYE,2019,9,9.89010989010989
4,COYE,2020,5,4.807692307692308
